protein_name	model	val_auroc	val_auprc	test_auroc	test_auprc	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed
MBNL1	random_forest	0.9877339745760798	0.9738679192477107	0.9864854564302701	0.9685271777875923	4564	1544	1554	4040	8597	0
MEC-8	logistic_regression	0.9949658408433825	0.989648166125888	0.9936035928567011	0.9874818099207947	5895	1985	1982	5185	11351	0
MEC-8	random_forest	0.9953551672072096	0.9904232586913397	0.9951521618110967	0.9906595731185526	5895	1985	1982	5185	11351	0
MEX-5	logistic_regression	0.9691051699932858	0.9463380799195369	0.966952380952381	0.9400189423981482	3424	1192	1170	3036	6473	0
MEX-5	random_forest	0.9795550265519135	0.9604623385669245	0.9797523809523809	0.9612529153239404	3424	1192	1170	3036	6473	0
MOD	logistic_regression	0.9693559338474222	0.9492974048750197	0.9697377147063448	0.9483092159795327	3997	1312	1362	3985	8493	0
MOD	random_forest	0.9752315825209757	0.9524206363083293	0.9766976529009997	0.9556579378992964	3997	1312	1362	3985	8493	0
MSI	logistic_regression	0.9952464405778545	0.9849042616429399	0.9962573236118679	0.9904479241046752	5014	1640	1666	4293	9559	0
MSI	random_forest	0.9945744344095453	0.9830788041944949	0.9964705088294896	0.9911832444348196	5014	1640	1666	4293	9559	0
MSI1	logistic_regression	0.9992599106978307	0.9984803132396206	0.9992253578399479	0.9982570681779772	7719	2612	2588	6894	14872	0
MSI1	random_forest	0.9994555218939044	0.9989728513436099	0.9995486337020169	0.9990412299451648	7719	2612	2588	6894	14872	0
MUB	logistic_regression	0.9823387554694546	0.9601833448611795	0.9746864133649545	0.9419284242095906	5394	1836	1800	4817	10370	0
MUB	random_forest	0.9794662480376766	0.9535342548213128	0.9752157376541676	0.941685419904173	5394	1836	1800	4817	10370	0
NCU02404	logistic_regression	0.9997669573117144	0.9994733466469103	0.9999077950558214	0.9998160588910042	7995	2636	2704	6904	14729	0
NCU02404	random_forest	0.999535889561465	0.9989987849187623	0.9997177781100478	0.9994033963865938	7995	2636	2704	6904	14729	0
NCU08034	logistic_regression	0.9985652555290327	0.9970394443353245	0.9987049957900054	0.9972995999571613	7574	2467	2498	6627	14295	0
NCU08034	random_forest	0.9985533921946449	0.9970562657954939	0.9988224676547903	0.9975308306093287	7574	2467	2498	6627	14295	0
Nab2p	logistic_regression	0.9556582513193553	0.9418920108129307	0.9591505031967086	0.9479424744418526	2573	844	825	2463	5134	0
Nab2p	random_forest	0.9572671516188844	0.9394766342753443	0.9672052490793719	0.9548511165241951	2573	844	825	2463	5134	0
Ng_0261	logistic_regression	0.9979837369118907	0.9964029899801383	0.9966537873590198	0.9916722522304651	4318	1477	1461	4584	9975	0
Ng_0261	random_forest	0.9987405689342944	0.9976930100386769	0.9977992834129764	0.9949350165105126	4318	1477	1461	4584	9975	0
Nv_0278	logistic_regression	0.9703288145829029	0.9322435345605541	0.9708726898083444	0.9312756912525102	6477	2138	2115	5201	11197	0
Nv_0278	random_forest	0.9854266325508956	0.9629749985509782	0.9835188383277527	0.9541843840138864	6477	2138	2115	5201	11197	0
ORB2	logistic_regression	0.9865218357832165	0.9597553354886236	0.9891737961678676	0.9714052736697766	4030	1344	1345	3803	8315	0
ORB2	random_forest	0.9861868610738072	0.957418565548864	0.9881151112693172	0.9619684900662273	4030	1344	1345	3803	8315	0
Ot_0262	logistic_regression	0.9979102396772662	0.9931949111784081	0.9973701180029538	0.9920318647202538	5564	1866	1869	5007	10819	0
Ot_0262	random_forest	0.9974311817750355	0.9916495839108711	0.9967906524781809	0.9892377366600742	5564	1866	1869	5007	10819	0
Ot_0263	logistic_regression	0.9914087847882007	0.984652933497651	0.9911250004034458	0.9845202145655884	6935	2302	2320	6764	14459	0
Ot_0263	random_forest	0.9913158762166984	0.9864213359897006	0.992743624750267	0.9873946760430947	6935	2302	2320	6764	14459	0
PABP	logistic_regression	0.9971431300053208	0.9941448300115263	0.9967942747421628	0.9931685321336332	6571	2192	2205	5945	13064	0
PABP	random_forest	0.9973223096898008	0.9942266136126416	0.9969299549702847	0.9937394006406751	6571	2192	2205	5945	13064	0
PABPC1	logistic_regression	0.9905248332393435	0.9806527195169157	0.9938708106620372	0.9884305693167275	5159	1729	1677	4614	9927	0
