protein_name	best_model	auroc	auprc	val_auroc	val_auprc	accuracy	f1	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed	rna_length_mode	split_mode	dataset
SCHCODRAFT_35516	random_forest	0.9931580651496573	0.9826924922553346	0.9905732885639805	0.9727070864938681	0.9539800995024875	0.931098696461825	4821	1607	1608	2595	5441	0		honest_60_20_20	rnacompete_rbpzoo
SCHCODRAFT_72118	random_forest	0.9938011485189596	0.9830271629158158	0.992767746630135	0.9808255995142934	0.9580936729663106	0.9379562043795621	7300	2434	2434	3856	8312	0		honest_60_20_20	rnacompete_rbpzoo
SCHCODRAFT_80278	random_forest	0.9939052051570106	0.9833178953135551	0.9964848874783951	0.9890305394043234	0.9717687074829932	0.957282552753474	8820	2940	2940	4648	10052	0		honest_60_20_20	rnacompete_rbpzoo
SCL30	random_forest	0.9951225854156975	0.9867092246751115	0.9964172705031868	0.9903569553708658	0.9615280411812517	0.9426494345718901	11071	3691	3691	5866	12587	0		honest_60_20_20	rnacompete_rbpzoo
SNRPB2	random_forest	0.9892828786581811	0.9761848966811909	0.9860821640800427	0.9600925105968743	0.9353899883585565	0.9075770191507078	5154	1718	1718	2769	5821	0		honest_60_20_20	rnacompete_rbpzoo
SRSF3	random_forest	0.9857618174426034	0.9656135572623159	0.9872162172093305	0.9714861288564727	0.9410569105691057	0.9130434782608695	5902	1968	1968	3153	6685	0		honest_60_20_20	rnacompete_rbpzoo
Smp_006320	random_forest	0.9922911119563839	0.9823963177480403	0.9886306110852833	0.9720559252714153	0.9490608086596626	0.9240986717267552	9423	3141	3141	4950	10755	0		honest_60_20_20	rnacompete_rbpzoo
Smp_024140	random_forest	0.9860124779578748	0.9533823604162801	0.9898129301635803	0.9709656444248653	0.9549278846153846	0.9340369393139841	4992	1664	1664	2666	5654	0		honest_60_20_20	rnacompete_rbpzoo
Smp_032060	logistic_regression	0.9866975130133024	0.9661792119424927	0.9871216193245771	0.9713472094295321	0.9451371571072319	0.9162861491628614	6013	2005	2005	3182	6841	0		honest_60_20_20	rnacompete_rbpzoo
Smp_036270	random_forest	0.9733243611845036	0.9404251037988604	0.9761155308217055	0.9468893500727632	0.9062034739454095	0.8686587908269632	6042	2014	2015	3257	6814	0		honest_60_20_20	rnacompete_rbpzoo
T07F10.3	random_forest	0.988260975758686	0.9706576436888302	0.9900567314470959	0.9740928164921107	0.9362286970863112	0.9074960127591707	5454	1819	1819	2915	6177	0		honest_60_20_20	rnacompete_rbpzoo
TBPH	random_forest	0.9883744051379485	0.968452146722898	0.9884632321598716	0.9705082084875408	0.9423580786026201	0.9163144547759933	10302	3434	3435	5442	11729	0		honest_60_20_20	rnacompete_rbpzoo
TIA1	logistic_regression	0.9874535762310304	0.9701687246363231	0.9879683397899724	0.9711809200031569	0.9521152952115295	0.9253081943437274	6452	2151	2151	3395	7359	0		honest_60_20_20	rnacompete_rbpzoo
TRNAU1AP	random_forest	0.9938205384185858	0.9847181107168408	0.9922951318973248	0.9798482985783603	0.9615849969751966	0.9426118391323994	9915	3306	3306	5231	11296	0		honest_60_20_20	rnacompete_rbpzoo
TVAG_371220	random_forest	0.9933322355147287	0.9835203662980411	0.9931430843362055	0.9824529402990156	0.9501698754246886	0.926605504587156	10596	3532	3532	5579	12081	0		honest_60_20_20	rnacompete_rbpzoo
Tb10.389.1650	random_forest	0.9959411466260781	0.9884670814079439	0.9966876163703849	0.9860346067410942	0.9738846572361263	0.9605263157894737	8271	2757	2757	4379	9406	0		honest_60_20_20	rnacompete_rbpzoo
Tb11.01.3940	random_forest	0.9958302532543454	0.9882021603179465	0.9964035729570776	0.9894376091010357	0.95995995995996	0.9411764705882353	5991	1997	1998	3206	6780	0		honest_60_20_20	rnacompete_rbpzoo
Tb11.01.5690	random_forest	0.9861770160433903	0.9678218036646871	0.9879781417226571	0.9720929550811189	0.9316556291390728	0.9004629629629629	11323	3775	3775	5994	12879	0		honest_60_20_20	rnacompete_rbpzoo
Tb11.03.0550	random_forest	0.9813654757275961	0.9524263728284363	0.9807318442994774	0.9533172725925778	0.9135135135135135	0.8781725888324873	8322	2775	2775	4393	9479	0		honest_60_20_20	rnacompete_rbpzoo
Tb927.3.3960	random_forest	0.9898944981249508	0.9718297778734218	0.9888172877283002	0.9669228388209858	0.9394760614272809	0.9128738621586476	9961	3321	3321	5262	11341	0		honest_60_20_20	rnacompete_rbpzoo
Tb927.5.810	random_forest	0.9947765646624634	0.9848950613170385	0.9945600492080579	0.9843358095656605	0.9659714599341384	0.9495387954422138	8198	2733	2733	4374	9290	0		honest_60_20_20	rnacompete_rbpzoo
Tb927.6.4960	random_forest	0.9915081943636375	0.9788908417996476	0.9917145243216036	0.9793235989311179	0.9381320642474718	0.9107296137339056	10086	3362	3362	5329	11481	0		honest_60_20_20	rnacompete_rbpzoo
Tb927.7.2140	random_forest	0.9647572299781136	0.9273904742526887	0.9603879303746115	0.9130190064697082	0.9035314384151594	0.8587641866330391	6963	2321	2322	3734	7872	0		honest_60_20_20	rnacompete_rbpzoo
Tb927.7.320	random_forest	0.9962730038826096	0.9890942471174826	0.9967403598176952	0.989572018568702	0.9752839011356046	0.9623983739837398	8982	2994	2994	4744	10226	0		honest_60_20_20	rnacompete_rbpzoo
