eclip_id	gt_out_folder	pos_bed	neg_bed	mode_settings	num_pos	min_pos	max_pos	mean_pos	median_pos	num_neg	min_neg	max_neg	mean_neg	median_neg
SMNDC1_K562_ENCSR658IQB	rnaprot_gt_out/SMNDC1_K562_ENCSR658IQB_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SMNDC1_K562_ENCSR658IQB.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SMNDC1_K562_ENCSR658IQB.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	1847	61	219	99.00757985923119	96	1847	61	219	98.60747157552788	96
SND1_HepG2_ENCSR061EVO	rnaprot_gt_out/SND1_HepG2_ENCSR061EVO_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SND1_HepG2_ENCSR061EVO.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SND1_HepG2_ENCSR061EVO.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	3685	61	308	89.39077340569878	85	3685	61	308	89.63229308005427	85
SND1_K562_ENCSR128VXC	rnaprot_gt_out/SND1_K562_ENCSR128VXC_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SND1_K562_ENCSR128VXC.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SND1_K562_ENCSR128VXC.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	2649	61	298	97.90562476406191	94	2649	61	227	97.91921479803699	94
SNRNP200_HepG2_ENCSR789YZZ	rnaprot_gt_out/SNRNP200_HepG2_ENCSR789YZZ_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SNRNP200_HepG2_ENCSR789YZZ.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SNRNP200_HepG2_ENCSR789YZZ.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	969	61	236	101.95975232198143	102	969	61	210	102.48297213622291	102
SNRNP200_K562_ENCSR280JAB	rnaprot_gt_out/SNRNP200_K562_ENCSR280JAB_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SNRNP200_K562_ENCSR280JAB.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SNRNP200_K562_ENCSR280JAB.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	615	61	247	116.04715447154472	117	615	61	247	115.03089430894309	116
SNRPA1_HepG2_ENCSR203ACR	rnaprot_gt_out/SNRPA1_HepG2_ENCSR203ACR_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SNRPA1_HepG2_ENCSR203ACR.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SNRPA1_HepG2_ENCSR203ACR.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	284	61	158	72.88380281690141	61.0	284	61	158	72.38380281690141	61.0
SNRPC_HepG2_ENCSR959OKB	rnaprot_gt_out/SNRPC_HepG2_ENCSR959OKB_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SNRPC_HepG2_ENCSR959OKB.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SNRPC_HepG2_ENCSR959OKB.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	2589	61	337	155.6361529548088	155	2589	61	337	155.25415218230978	155
SNRPC_K562_ENCSR714FKK	rnaprot_gt_out/SNRPC_K562_ENCSR714FKK_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SNRPC_K562_ENCSR714FKK.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SNRPC_K562_ENCSR714FKK.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	2333	61	309	136.46806686669524	135	2333	61	309	137.52507501071582	136
SNRPD3_HepG2_ENCSR038CCV	rnaprot_gt_out/SNRPD3_HepG2_ENCSR038CCV_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SNRPD3_HepG2_ENCSR038CCV.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SNRPD3_HepG2_ENCSR038CCV.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	346	61	139	74.16184971098266	66.0	346	61	122	73.60982658959537	65.0
SNRPD3_K562_ENCSR552TNU	rnaprot_gt_out/SNRPD3_K562_ENCSR552TNU_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SNRPD3_K562_ENCSR552TNU.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SNRPD3_K562_ENCSR552TNU.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	1201	61	332	127.80099916736053	128	1201	61	298	127.88093255620316	128
