protein_key	protocol	protein_name_native	is_representative	assign_rule
YBX2	rnacompete_eukarya	YBX2	1	exact_base
ZC3H10	htr_selex	ZC3H10	1	exact_base
ZC3H10	rnacompete_eukarya	ZC3H10	1	exact_base
ZCRB1	htr_selex	ZCRB1	1	exact_base
ZCRB1	rbns	ZCRB1	1	exact_base
ZCRB1	rnacompete_eukarya	ZCRB1	1	exact_base
ZFP36	htr_selex	ZFP36	1	exact_base
ZFP36	rbns	ZFP36	1	exact_base
ZRANB2	htr_selex	ZRANB2	1	exact_base
ZRANB2	rbns	ZRANB2	1	exact_base
